type,longitude,latitude,NDVI,NDBI,BSI,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,distriver1,distriver2,bulk_density,slope,tri,ph,soc,clay,cec,lidar_elevation_value,label
earthwork,-68.012,-10.0011,0.28783062,-0.052987445,-0.0140377138058816,25.07500076,10.61666679,70.77777863,88.15018463,31.79999924,16.79999924,15.0,25.53333282,23.83333397,25.81666565,23.79999924,1674,210,58,40.77998734,624,210,496,214,658938.0649,594864.8242,132.0,1.2805089950561523,3.8232556742412616,48.0,110.0,25.2,13.6,182.0,1
earthwork,-67.674,-9.979,0.40650067,-0.15371037,-0.0980354445144138,25.34583282,10.39166641,70.21396637,84.51622772,32.09999847,17.29999924,14.79999924,25.76666641,24.16666603,26.03333282,24.11666679,1663,208,58,39.21776962,616,213,484,221,668703.433,622837.1019,133.0,0.4708581268787384,3.0711722135742665,48.0,86.0,27.8,12.1,184.0,1
earthwork,-67.689,-10.3618,0.40744776,-0.059047434,-0.0454488964426187,25.36666679,10.51666641,70.11110687,82.85620117,32.20000076,17.20000076,15.0,25.75,24.23333359,26.06666565,24.16666603,1680,220,49,44.40727615,642,185,429,194,708153.7471,592860.0048,132.0,0.5858319401741028,3.197221015541813,47.0,142.0,25.038,14.438,218.0,1
earthwork,-67.716,-10.262,0.4747425,-0.18904796,-0.12585130750435,25.25833321,10.33333302,70.29479218,84.84832001,31.89999962,17.20000076,14.69999886,25.66666603,24.08333397,25.98333359,24.03333282,1660,213,53,42.32550812,626,198,495,202,696596.516,598009.4656,134.0,0.2600883543491363,2.9101779674913373,47.0,106.0,24.114,14.408,218.0,1
earthwork,-67.722,-10.2556,0.42618775,-0.08975516,-0.0584829867674858,25.25416756,10.27499962,69.89796448,86.45696259,31.89999962,17.20000076,14.69999886,25.66666603,24.05000114,25.98333359,24.0,1646,211,53,42.38003159,621,197,491,200,696078.4494,598003.1491,134.0,0.3719779551029205,1.3698697784370255,46.0,138.0,25.1,15.8,213.0,1
earthwork,-67.666,-10.2436,0.43954003,-0.12659949,-0.0893949251789198,25.37916756,10.50833321,70.05555725,83.70560455,32.20000076,17.20000076,15.0,25.78333282,24.21666718,26.08333397,24.16666603,1637,213,51,43.46219635,625,191,413,199,696789.9186,603458.4209,129.0,0.8851098418235779,5.513171657802411,50.0,173.0,22.7,16.1,218.0,1
earthwork,-67.522,-10.3873,0.4528759,-0.099547565,-0.0722265744746074,25.54166603,10.5,69.99999237,83.19838715,32.40000153,17.39999962,15.00000191,25.88333321,24.41666603,26.26666641,24.33333397,1696,226,44,46.82584381,658,171,434,184,717046.5262,605111.4586,131.0,1.4329993724822998,4.784233364802441,49.0,109.0,22.2,13.65,209.0,1
earthwork,-67.462,-10.2237,0.42979786,-0.13269888,-0.0847153885645225,25.35000038,10.48333359,70.35793304,80.48152161,32.20000076,17.29999924,14.90000153,25.68333244,24.25,26.04999924,24.18333244,1692,223,44,46.85083771,660,171,426,189,702326.528,621612.5014,132.0,0.9348597526550292,3.39934634239519,47.0,146.0,27.092924,16.193992,176.0,1
earthwork,-67.655,-10.2079,0.36574274,-0.060126368,-0.0204645762883653,25.35833359,10.38333321,70.15766144,83.85140991,32.09999847,17.29999924,14.79999924,25.73333359,24.20000076,26.08333397,24.14999962,1664,211,53,41.73603439,625,200,493,205,693417.5103,607034.2161,134.0,0.5856451392173767,3.39934634239519,46.0,107.0,20.4,14.37266,213.0,1
earthwork,-67.618,-10.0581,0.41904816,-0.13313662,-0.1066381821712953,25.32500076,10.38333321,70.15766144,81.61716461,32.09999847,17.29999924,14.79999924,25.70000076,24.20000076,26.0,24.13333321,1668,210,55,40.52187347,623,207,489,215,678987.1806,621429.3474,136.0,0.520097017288208,2.4545246704866432,45.0,125.0,24.256,14.368,182.0,1
earthwork,-67.728,-10.029,0.3951972,-0.15424447,-0.1167090106312128,25.41666603,10.54999924,69.86755371,85.12913513,32.29999924,17.20000076,15.09999847,25.81666565,24.18333435,26.11666679,24.18333435,1653,199,64,35.95354843,594,229,424,229,671990.3819,614711.9689,135.0,1.429664969444275,3.944053188733077,48.0,86.0,28.7,14.8,212.0,1
earthwork,-67.546,-10.071,0.45268723,-0.26233587,-0.1841746248294679,25.47916603,10.47499943,70.30201721,82.17106628,32.29999924,17.39999962,14.89999962,25.86666679,24.35000038,26.16666603,24.28333282,1681,217,52,43.04731369,640,192,425,206,683149.1241,626073.9224,131.0,3.68225622177124,10.85027165842999,50.0,121.0,20.724,25.58,184.0,1
earthwork,-67.094,-9.9978,0.41223112,-0.11991826,-0.0815060393523685,25.72500038,10.55000019,71.76870728,74.14667511,32.5,17.79999924,14.70000076,25.96666718,24.73333359,26.43333435,24.66666603,1808,257,28,54.96583176,749,124,452,173,694619.8824,668746.6905,136.0,0.8449152112007141,3.018461712712472,46.0,85.0,30.4,17.7,218.0,1
earthwork,-67.498,-9.9855,0.45200178,-0.13186939,-0.0948118775571014,25.41250038,10.5583334,70.3888855,81.10388184,32.29999924,17.29999924,15.0,25.76666641,24.29999924,26.11666679,24.23333359,1718,227,47,45.14907455,666,181,433,203,676179.5386,636333.3434,136.0,0.5828872323036194,3.059088866208515,46.0,83.0,30.65,14.3,219.0,1
earthwork,-67.214,-9.801,0.44490102,-0.09335612,-0.0566910263117922,25.66666603,10.51666641,72.0319519,76.55459595,32.40000153,17.79999924,14.60000229,25.98333359,24.61666679,26.35000038,24.56666565,1819,268,28,56.4024353,766,119,443,177,669235.8148,673248.579,132.0,1.1013731956481934,4.030746032714856,44.0,80.0,34.7,12.9,209.0,1
